Fahrenheit 	    Celsius 
     11.00 	     -11.67 
     12.00 	     -11.11 
     13.00 	     -10.56 
     14.00 	     -10.00 
     15.00 	      -9.44 
     16.00 	      -8.89 
     17.00 	      -8.33 
     18.00 	      -7.78 
     19.00 	      -7.22 
     20.00 	      -6.67 
     21.00 	      -6.11 
     22.00 	      -5.56 
     23.00 	      -5.00 
     24.00 	      -4.44 
     25.00 	      -3.89 
     26.00 	      -3.33 
     27.00 	      -2.78 
     28.00 	      -2.22 
     29.00 	      -1.67 
     30.00 	      -1.11 
     31.00 	      -0.56 
     32.00 	       0.00 
     33.00 	       0.56 
     34.00 	       1.11 
     35.00 	       1.67 
     36.00 	       2.22 
     37.00 	       2.78 
     38.00 	       3.33 
     39.00 	       3.89 
     40.00 	       4.44 
     41.00 	       5.00 
     42.00 	       5.56 
     43.00 	       6.11 
     44.00 	       6.67 
     45.00 	       7.22 
     46.00 	       7.78 
     47.00 	       8.33 
     48.00 	       8.89 
     49.00 	       9.44 
     50.00 	      10.00 
     51.00 	      10.56 
     52.00 	      11.11 
     53.00 	      11.67 
     54.00 	      12.22 
     55.00 	      12.78 
     56.00 	      13.33 
     57.00 	      13.89 
     58.00 	      14.44 
     59.00 	      15.00 
     60.00 	      15.56 
     61.00 	      16.11 
     62.00 	      16.67 
     63.00 	      17.22 
     64.00 	      17.78 
     65.00 	      18.33 
     66.00 	      18.89 
     67.00 	      19.44 
     68.00 	      20.00 
     69.00 	      20.56 
     70.00 	      21.11 
     71.00 	      21.67 
     72.00 	      22.22 
     73.00 	      22.78 
     74.00 	      23.33 
     75.00 	      23.89 
     76.00 	      24.44 
     77.00 	      25.00 
     78.00 	      25.56 
     79.00 	      26.11 
     80.00 	      26.67 
     81.00 	      27.22 
     82.00 	      27.78 
     83.00 	      28.33 
     84.00 	      28.89 
     85.00 	      29.44 
     86.00 	      30.00 
     87.00 	      30.56 
     88.00 	      31.11 
     89.00 	      31.67 
     90.00 	      32.22 
     91.00 	      32.78 
     92.00 	      33.33 
     93.00 	      33.89 
     94.00 	      34.44 
     95.00 	      35.00 
     96.00 	      35.56 
     97.00 	      36.11 
     98.00 	      36.67 
     99.00 	      37.22 
    100.00 	      37.78 
    101.00 	      38.33 
    102.00 	      38.89 
    103.00 	      39.44 
    104.00 	      40.00 
    105.00 	      40.56 
    106.00 	      41.11 
    107.00 	      41.67 
    108.00 	      42.22 
    109.00 	      42.78 
    110.00 	      43.33 
    111.00 	      43.89 
    112.00 	      44.44 
    113.00 	      45.00 
    114.00 	      45.56 
    115.00 	      46.11 
    116.00 	      46.67 
    117.00 	      47.22 
    118.00 	      47.78 
    119.00 	      48.33 
    120.00 	      48.89 
    121.00 	      49.44 
    122.00 	      50.00 
    123.00 	      50.56 
    124.00 	      51.11 
    125.00 	      51.67 
    126.00 	      52.22 
    127.00 	      52.78 
    128.00 	      53.33 
    129.00 	      53.89 
    130.00 	      54.44 
    131.00 	      55.00 
    132.00 	      55.56 
    133.00 	      56.11 
    134.00 	      56.67 
    135.00 	      57.22 
    136.00 	      57.78 
    137.00 	      58.33 
    138.00 	      58.89 
    139.00 	      59.44 
    140.00 	      60.00 
    141.00 	      60.56 
    142.00 	      61.11 
    143.00 	      61.67 
    144.00 	      62.22 
    145.00 	      62.78 
    146.00 	      63.33 
    147.00 	      63.89 
    148.00 	      64.44 
    149.00 	      65.00 
    150.00 	      65.56 
    151.00 	      66.11 
    152.00 	      66.67 
    153.00 	      67.22 
    154.00 	      67.78 
    155.00 	      68.33 
    156.00 	      68.89 
    157.00 	      69.44 
    158.00 	      70.00 
    159.00 	      70.56 
    160.00 	      71.11 
    161.00 	      71.67 
    162.00 	      72.22 
    163.00 	      72.78 
    164.00 	      73.33 
    165.00 	      73.89 
    166.00 	      74.44 
    167.00 	      75.00 
    168.00 	      75.56 
    169.00 	      76.11 
    170.00 	      76.67 
    171.00 	      77.22 
    172.00 	      77.78 
    173.00 	      78.33 
    174.00 	      78.89 
    175.00 	      79.44 
    176.00 	      80.00 
    177.00 	      80.56 
    178.00 	      81.11 
    179.00 	      81.67 
    180.00 	      82.22 
    181.00 	      82.78 
    182.00 	      83.33 
    183.00 	      83.89 
    184.00 	      84.44 
    185.00 	      85.00 
    186.00 	      85.56 
    187.00 	      86.11 
    188.00 	      86.67 
    189.00 	      87.22 
    190.00 	      87.78 
    191.00 	      88.33 
    192.00 	      88.89 
    193.00 	      89.44 
    194.00 	      90.00 
    195.00 	      90.56 
    196.00 	      91.11 
    197.00 	      91.67 
    198.00 	      92.22 
    199.00 	      92.78 
    200.00 	      93.33 
    201.00 	      93.89 
    202.00 	      94.44 
    203.00 	      95.00 
    204.00 	      95.56 
    205.00 	      96.11 
    206.00 	      96.67 
    207.00 	      97.22 
    208.00 	      97.78 
    209.00 	      98.33 
    210.00 	      98.89 
    211.00 	      99.44 
    212.00 	     100.00 
